0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(540.0, 1770.0)","(607.5, 1440.0)","(607.5, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1080.0)","(540.0, 690.0)","(540.0, 660.0)","(540.0, 390.0)","(843.75, 750.0)","(725.625, 750.0)","(607.5, 690.0)","(506.25, 720.0)","(438.75, 540.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(607.5, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1080.0)","(540.0, 690.0)","(540.0, 660.0)","(540.0, 390.0)","(843.75, 750.0)","(725.625, 720.0)","(590.625, 690.0)","(506.25, 720.0)","(691.875, 660.0)","(658.125, 600.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(624.375, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1080.0)","(540.0, 690.0)","(540.0, 660.0)","(540.0, 390.0)","(843.75, 750.0)","(725.625, 720.0)","(590.625, 690.0)","(489.375, 690.0)","(759.375, 660.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(607.5, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1050.0)","(540.0, 690.0)","(540.0, 630.0)","(540.0, 390.0)","(843.75, 750.0)","(725.625, 720.0)","(590.625, 690.0)","(489.375, 690.0)","(438.75, 540.0)","(658.125, 600.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(624.375, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1050.0)","(540.0, 690.0)","(556.875, 630.0)","(540.0, 390.0)","(843.75, 750.0)","(708.75, 720.0)","(590.625, 690.0)","(489.375, 690.0)","(438.75, 540.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1440.0)","(624.375, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1050.0)","(556.875, 690.0)","(556.875, 630.0)","(540.0, 390.0)","(843.75, 750.0)","(708.75, 720.0)","(607.5, 690.0)","(489.375, 690.0)","(438.75, 540.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1440.0)","(624.375, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1080.0)","(556.875, 690.0)","(556.875, 630.0)","(540.0, 390.0)","(843.75, 750.0)","(725.625, 750.0)","(607.5, 690.0)","(489.375, 690.0)","(438.75, 540.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1440.0)","(624.375, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1080.0)","(556.875, 690.0)","(556.875, 630.0)","(540.0, 390.0)","(843.75, 750.0)","(725.625, 750.0)","(624.375, 690.0)","(489.375, 690.0)","(438.75, 540.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1440.0)","(624.375, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1050.0)","(540.0, 690.0)","(556.875, 630.0)","(523.125, 390.0)","(843.75, 750.0)","(708.75, 750.0)","(607.5, 690.0)","(489.375, 690.0)","(675.0, 630.0)","(675.0, 630.0)"
"(540.0, 1770.0)","(607.5, 1410.0)","(607.5, 1080.0)","(556.875, 1050.0)","(556.875, 1380.0)","(523.125, 1710.0)","(590.625, 1050.0)","(540.0, 690.0)","(540.0, 630.0)","(523.125, 390.0)","(843.75, 750.0)","(708.75, 720.0)","(607.5, 690.0)","(489.375, 690.0)","(438.75, 570.0)","(675.0, 630.0)"
